stage,description
OStimBench2PBothSittingMM,"{actor0} and {actor1} sit side by side on the bench, their anticipation palpable as they await their next erotic encounter."
OStim1PSittingM,"{actor0} is sitting, looking idle, awaiting the next development in the scene, his dick at the ready."
OStim1PSittingToStandingF,"{actor0} is standing with her feet on the ground, doing nothing in particular."
OStim2PBothLyingMF,"{actor0} and {actor1} lie back together, holding hands in a romantic gesture, their eyes locked on each other as they anticipate their next intimate encounter. The air is filled with anticipation as they eagerly await their next erotic escapade."
OStim2PLyingOnTopMF,"{actor0} lies on his front, while {actor1} lies on her back beside him. They share a romantic moment, holding hands as {actor1} gently strokes {actor0}'s head, both of them visibly eager for their next intimate encounter."
OStim2PSittingFF,"{actor0} and {actor1}, both female, sit side by side, their bodies intertwined as they hold each other, their hands gently grasping the other's body."
OStim2PStandingFingeringFromBehindMF,"{actor0} stands behind {actor1}, who faces away from him, and reaches around to grope her breasts with one hand while using the other to rub her clitoris, stimulating her vulva."
OStim2PStandingGrindingDryMF,"{actor0} stands behind {actor1}, his erection sliding into her asshole from behind as he takes her from the back in a buttjob, while {actor1} reaches around to grope {actor0}'s chest."
OStim2PStandingHoldingMF,"{actor0} stands facing {actor1}, his arms wrapped around her body, holding her close as they stand together."
OStim2PStandingNippleSuckingMF,"{actor0} is standing, his mouth locked onto {actor1}'s nipples as he sucks on them, while {actor1} stands, her chest exposed to his oral attention."
OStim2PStandingKneelingMF,"{actor0} stands with his feet shoulder-width apart, while {actor1} kneels before him, her eyes fixed on his groin area, both of them paused in anticipation of their next intimate encounter."
OStim2PStandingKissMF,"{actor0} and {actor1} stand facing each other, their lips locked in a sensual and romantic kiss. {actor0}'s hand rests on {actor1}'s hip, a gentle and intimate touch, while his other hand cradles her head. Meanwhile, {actor1}'s arms wrap around {actor0}'s body, holding him close as they share the passionate kiss."
OStim2PStandingSquattingToStandingApartMF,"{actor0} is standing upright with his feet shoulder-width apart, while {actor1} is squatting down in front of him, her legs bent at a 90-degree angle, her face at groin level. No one is engaging in any explicit activity at this moment."
OStim2PStandingSquattingMF,"{actor0} stands with his feet shoulder-width apart, while {actor1} squats down in front of him, her eyes fixed on his groin, both of them paused in anticipation of their next intimate encounter. The air is electric with expectation as they wait for the moment to ignite their passion."
OStim2PStandingVampireBiteMaleToDrainedFemaleMF,"{actor0} stands tall, his feet firmly planted on the ground, while {actor1} sways slightly, her eyes drooping as she stands beside him in a drowsy state. Neither of them are actively engaging in any physical activity, simply standing together."
OStim4PStandingMMFF,"{actor0}, {actor1}, {actor2}, and {actor3} are all standing with their feet firmly on the ground, momentarily idle as they anticipate the next stage of their intense encounter. The air is thick with anticipation as these four consenting adults stand together, ready to delve into their next erotic adventure."
OStim5PLyingMFFFF,"{actor0} lies back, relaxed, as {actor1} reclines beside him, while {actor2} and {actor3} sit nearby, and {actor4} lounges on her back, all of them anticipating their next erotic engagement. The atmosphere is calm, with no sexual activity currently underway."
OStim4PStandingMMMF,"{actor0}, {actor1}, {actor2}, and {actor3} stand idly, their eyes gleaming with anticipation as they poised for their upcoming erotic escapade. The air is thick with expectation, their bodies tense with readiness, as the four participants wait for the next move."
OStim5PStandingMMMMF,"{actor0}, {actor1}, {actor2}, {actor3}, and {actor4} stand idly, anticipation hanging in the air as they wait for the next erotic encounter to unfold."
OStimBench2PBothSittingMF,"{actor0} is sitting on the bench, while {actor1} sits beside him, both of them seemingly anticipating their next erotic encounter. The atmosphere is idle, with no immediate action unfolding between them."
OStim5PLyingMMMMF,"{actor0}, {actor1}, {actor2}, and {actor3} are all lounging around, with {actor0} and {actor1} lying back, while {actor2} and {actor3} sit beside them, all eyes on {actor4}, who's lying back, ready for the action to begin. The air is thick with anticipation as they all wait for their next move."
OStimBench2PBothSittingFF,"{actor0} and {actor1}, both women, sit side by side on a bench, anticipating their next erotic encounter, exuding an air of expectation and desire."
OStim5PStandingMFFFF,"{actor0} stands with his feet firmly on the ground, surrounded by {actor1}, {actor2}, {actor3}, and {actor4}, all of whom are also standing, anticipating their next erotic encounter. The air is filled with expectation as they wait for the opportunity to engage in a passionate and intimate experience together."
OStim2PDoggyIdleMF,"{actor0} is kneeling beside {actor1}, who is on all fours with her back to him, both poised and ready for their next erotic encounter, their anticipation palpable."
OStim2PSittingMF,"{actor0} is sitting, his eyes fixed on {actor1}, who is also seated, both of them anticipating their next intimate escapade."
OStim2PStandingApartHandjobMF,"{actor0} is standing with his feet on the ground, while {actor1} is standing in front of him, her hand wrapped around his shaft, giving him a handjob. Her strokes are smooth and deliberate, focused on bringing him pleasure."
OStim2PStandingApartFemaleBehindMF,"{actor0} stands with his feet shoulder-width apart, facing away, while {actor1} stands beside him, both of them seemingly anticipating their next move, their bodies tense with expectation."
OStim2PStandingApartMM,"{actor0} and {actor1}, two dudes, are standing on the ground, feet planted firmly, just chillin' and waiting for their next erotic escapade to kick off."
OStim2PStandingApartMF,"{actor0} and {actor1} stand facing each other, both with their feet firmly on the ground, eagerly anticipating their next intimate encounter. The air is charged with anticipation as they wait for the moment to engage in a passionate exchange."
OStim2PStandingGropingBreastsFromBehindMF,"{actor0} stands behind {actor1}, who has her back to him, and sensually gropes her breasts with his hands."
OStim2PStandingHoldingToApartMF,"{actor0} and {actor1} are standing facing each other, their bodies close together. Neither is engaging in any explicit activity, simply standing in a state of quiet intimacy."
OStim2PStandingHugFromBehindMF,"{actor0} stands with his feet firmly on the ground, wrapping his arms around {actor1} in a sensual one-sided hug, as she stands facing away from him, her back pressed against his chest."
OStim2PStandingSpankMF,"{actor0} is standing with his feet on the ground, holding {actor1}'s body as they stand facing him, their bodies pressed together."
OStim2PStandingKneelingFemaleBehindMF,"{actor0} stands with his feet shoulder-width apart, facing away from the scene, while {actor1} kneels beside him, her eyes fixed on him with anticipation, both of them poised and ready for their next erotic encounter. The air is charged with expectation as they wait for the moment to ignite their passion."
OStim2PStandingSpankIdleMF,"{actor0} is standing behind {actor1}, who has her feet on the ground, bent over and facing away from him, as he grasps her body from behind, holding her in place."
OStim1PStandingF,"{actor0}, a woman, stands with her feet shoulder-width apart, awaiting her next encounter with an air of anticipation. Her eyes seem to gleam with expectation, as if she's ready to dive into her next sensual experience at a moment's notice."
OStim2PKneelingLyingFF,"{actor0} is kneeling beside {actor1}, who's lying back, as they romantically hold hands, both of them seemingly eager and anticipating their next sexual escapade."
OStim2PKneelingLyingFrontMM,"{actor0} is kneeling beside {actor1}, who lies back, as {actor0} gently holds {actor1}'s body, both men anticipating their upcoming intimate encounter."
OStim2PKneelingLyingMM,"{actor0} is kneeling beside {actor1}, who's lying on his back, while {actor0} gently holds {actor1}'s leg, both of them seemingly anticipating their next passionate encounter."
OStim2PKneelingLyingToLyingKneelingMM,"{actor0} and {actor1} are both on their knees, facing each other in a mirrored stance, their bodies positioned in a state of anticipation, but no physical interaction is occurring between them at this moment."
OStim2PStandingApartToHandHoldingLowMF,"{actor0} and {actor1} are standing facing each other, simply standing still with no active actions taking place between them."
OStim2PStandingHandHoldingHighMF,"{actor0} and {actor1} stand facing each other, hands clasped together in a tender hold, their bodies close in a romantic stance."
OStim2PStandingHandHoldingKissMF,"{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss as they hold hands, the intimacy between them palpable."
OStim2PStandingHandHoldingLowMF,"{actor0} and {actor1} stand facing each other, hands clasped together in a romantic gesture, their eyes locked in a loving gaze."
OStim2PStandingHoldingToHoldingFromBehindMF,"{actor0} is standing, holding {actor1}'s body, while she is also standing, as they maintain a intimate grasp on each other."
OStim2PStandingVampireBiteFemaleToDrainedMaleMF,"{actor0} and {actor1} are standing facing each other, both with their feet planted firmly on the ground, with {actor0} looking a bit drowsy. Neither of them is currently engaged in any active actions."
OStim2PUndressBottom0MF,"{actor0} is standing tall, while {actor1} is squatting down in front of him, both of them frozen in a moment of anticipation, with the air thick with tension as they begin to undress each other."
OStim2PStandingVampireBiteFemaleMF,"{actor0} stands with his feet planted firmly on the ground, while {actor1} stands facing him, her feet also on the ground. She leans in, her lips brushing against his neck as she sinks her teeth into his skin in a seductive, sensual vampire bite, holding his head in place with one hand and grasping his arm with the other."
OStim2PUndressBoots1MF,"{actor0} and {actor1} stand facing each other, both with their feet planted firmly on the ground, as they begin to undress, their eyes locked in a sensual gaze. The air is charged with anticipation as they slowly reveal their bodies to each other."
OStim2PStandingVampireBiteMaleMF,"{actor0} stands facing {actor1}, his feet planted firmly on the ground, as he sinks his fangs into her neck in a sensual, seductive vampire bite. Meanwhile, he holds her head in place with one hand and wraps the other around her body, pulling her close."
OStim2PUndressBottom1MF,"{actor0} and {actor1} stand facing each other, both casually standing with their feet on the ground as they begin undressing."
OStim2PUndressingHub0MF,"{actor0} is standing upright, while {actor1} is squatting down low, both of them momentarily idle as they anticipate their next move."
OStim2PUndressingHub1MF,"{actor0} and {actor1} stand facing each other, their feet firmly on the ground, anticipation hanging in the air as they pause momentarily, awaiting the next move in their intimate encounter."
OStim2PUndressGloves1MF,"{actor0} and {actor1} stand facing each other, both with their feet firmly on the ground. They are in the process of undressing, slowly revealing their bodies to each other."
OStim2PUndressTop1MF,"{actor0} and {actor1} stand facing each other, both with their feet firmly on the ground, as they slowly begin to undress, their eyes locked in a sensual gaze."
OStim3PLyingFFF,"{actor0} lies back, relaxed, while {actor1} and {actor2} kneel beside her, anticipation building in the air as they await the start of their intimate encounter."
OStim3PLyingMFF,"{actor0} lies back, {actor1} and {actor2} kneel beside him, their faces filled with anticipation, the air thick with anticipation as they wait for the next move, the trio poised on the brink of a sensual encounter."
OStim3PLyingMMF,"{actor0}, {actor1}, and {actor2} are all lying back, anticipating their next moves, with {actor0} and {actor1} ready to engage and {actor2} prepared to receive. The tension is palpable as they wait for the action to begin."
OStim2PUndressHead1MF,"{actor0} and {actor1} stand facing each other, both on their feet, in the process of undressing, their eyes locked on each other as they slowly reveal their naked bodies. The air is tense with anticipation as they disrobe, their movements deliberate and sensual."
OStim3PLyingMMM,"The three men are poised in anticipation, {actor0} lying back, while {actor1} and {actor2} kneel beside him, all three ready to engage in their next erotic endeavor."
OStim3PStandingMMF,"{actor0}, {actor1}, and {actor2} are standing with their feet on the ground, poised and ready for their next erotic encounter, their anticipation palpable as they await the signal to engage in the next thrilling act."
OStim3PStandingFFF,"Three women, {actor0}, {actor1}, and {actor2}, stand with their feet planted firmly on the ground, all poised and ready for their upcoming intimate encounter. The atmosphere is electric with anticipation as they wait for the moment to engage in their anticipated sex acts."
OStim3PStandingMMM,"{actor0}, {actor1}, and {actor2} are standing side by side with their feet firmly on the ground, all awaiting their cue to engage in their next erotic encounter, their eyes fixed on something ahead, radiating anticipation."
OStim4PLyingMFFF,"{actor0} lies back, while {actor1} and {actor3} also recline, and {actor2} sits nearby, all of them anticipating their upcoming involvement in a steamy encounter. The atmosphere is tense with expectation as they wait for the action to begin."
OStim3PStandingMFF,"{actor0}, {actor1}, and {actor2} stand idle, feet firmly on the ground, anticipation hanging in the air as they await the next move in their upcoming encounter. The trio exudes an air of eagerness, ready to dive into their next explicit escapade."
OStim2PLyingKneelingMF,"{actor0} lies back while {actor1} kneels beside him, her hand gently holding his thigh in a romantic gesture, the tension between them palpable as they anticipate their next intimate encounter."
OStim2PStandingApartToSittingMF,"{actor0} is in a standing position, while {actor1} also stands beside him, though the scene remains stagnant, with no intimate actions unfolding between them."
OStim2PStandingApartToStandingSquattingMF,"{actor0} and {actor1} are standing face-to-face, their bodies close but not yet entwined, the tension palpable between them."
OStim2PStandingApartToVampireBiteFemaleMF,"{actor0} and {actor1} are standing facing each other, both on their feet, with no physical contact or intimate activity occurring between them."
OStim2PStandingApartToVampireBiteMaleMF,"{actor0} and {actor1} are standing facing each other, with their feet planted firmly on the ground, in a moment of stillness."
OStim2PStandingCloseFF,"{actor0} and {actor1} stand facing each other, both with their feet firmly on the ground, their bodies tense with anticipation as they wait for their next erotic encounter. The air is electric with expectation as they eagerly await the moment when they can indulge in passion together."
OStim2PStandingHandjobRKissMF,"{actor0} and {actor1} stand facing each other, their lips locked in a passionate kiss. As they kiss, {actor1}'s hand grasps {actor0}'s erect shaft, her fingers stroking his throbbing cock in a sensual handjob, while {actor0}'s arms wrap around {actor1}'s body, holding her close."
OStim2PStandingHeadPattingMF,"{actor0} is standing, gently patting {actor1}'s head as she stands before him, her face tilted upwards."
OStim2PStandingHandHoldingToApartMF,"{actor0} and {actor1} are standing facing each other, their bodies inches apart, the tension between them palpable. Neither of them makes a move, the air thick with anticipation."
OStim2PStandingHoldingChinHugMF,"{actor0} and {actor1} are standing, embracing each other sensually. {actor0} gently holds {actor1}'s chin, a romantic gesture."
OStim2PStandingHugMF,"{actor0} stands embracing {actor1} in a sensual hug, his arms wrapped around her body as she stands there."
OStim2PStandingKissFingeringMF,"{actor0} and {actor1} stand facing each other, their lips locked in a passionate kiss. As they kiss, {actor0}'s hands are busy, one of them gently holding {actor1}'s head while the other slips between her legs, his fingers sliding into her warm pussy, expertly fingering her vulva."
OStim2PStandingKissEmbraceMF,"{actor0} and {actor1} stand facing each other, their lips intertwined in a romantic and sensual kiss. At the same time, they wrap their arms around each other, sharing a sensual hug, their bodies pressed together in a warm embrace."
OStim4PLyingMMFF,"{actor0} and {actor1} are lying back, relaxing, while {actor2} sits nearby, and {actor3} is also lying back, all of them seemingly anticipating their next move, their bodies ready for action. The atmosphere is idle, with an air of expectation, as they wait for the scene to unfold."
OStim1PBathingHubStandingM,"{actor0} is standing with his feet planted firmly on the ground, patiently waiting for his next sexual encounter, his boner at the ready."
OARE_AceStandingTittyfuck,"{actor0} stands tall, his erect cock buried in {actor1}'s mouth as she kneels before him, her lips wrapped around his shaft, performing a sloppy boobjob."
OARE_AceStandingBoobjob_AfterClimax,"{actor0} stands tall, while {actor1} kneels before him, both of them engaging in heavy, anticipatory breathing, clearly eager for their next erotic encounter."
OARE_AceStandingBoobjob,"{actor0} stands upright, his erect cock squeezed between {actor1}'s breasts as she gives him a titjob, her knees bent in a kneeling position."
OARE_AceLyingTitfuck,"{actor0} lies back while {actor1} sits on top of him, her breasts enveloping his erection as she gives him a titjob, her soft flesh stimulating his penis as he actively thrusts into her cleavage."
OARE_AceLyingBoobjob,"{actor0} lies back while {actor1} sits on top of him, giving him a sexual boobjob with her breasts wrapped around his stiff dick."
OARE_AceLyingFingering,"{actor0} is lying on their side, fingers plunged into {actor1}'s slit as she lies back, receiving a erotic vaginal fingering."
OARE_AceStandingBoobjob_MaleClimax,"{actor0} is standing, ejaculating, as {actor1} kneels before him, her mouth wrapped around his cock, performing a sexual boobjob, her breasts stimulated by his thrusts."
OARE_AceLyingBoobjob_AfterClimax,"{actor0} lies back, while {actor1} sits beside him, both of them sharing a moment of anticipation, their audible breathing a testament to their eagerness for their next intimate encounter."
OARE_AceRearKneelingSex,"{actor0} is kneeling behind {actor1}, who's also on her knees, facing away from him, as he thrusts his dick into her pussy in a passionate, sexual vaginal sex act."
OARE_ActionFemaleCaressHoldHands,"{actor0} and {actor1} are standing face to face, simply standing there, not doing anything in particular."
OARE_ActionMaleKiss,"{actor0} and {actor1} stand facing each other, their lips locked in a passionate, romantic, and sensual kiss."
OARE_CowgirlCircularGrind,"{actor1} is sitting on top of {actor0}, who's lying back, as she rides him in a passionate cowgirl position, her vulva sliding up and down on his erect penis in a sensual, sexual rhythm."
OARE_FemaleSquattingUndressMaleBottom,"{actor0} stands facing {actor1}, who is also standing, as they both engage in a moment of intimacy, with {actor1} letting out a breathy moan."
OARE_GoBackStandingHandHolding,"{actor0} and {actor1} are standing facing each other, the tension between them is palpable as they pause in a moment of anticipation, the air thick with unspoken desire."
OARE_FemaleAllFours,"{actor0} is kneeling, while {actor1} is positioned on all fours, facing away, as they both anticipate their next intimate encounter."
OARE_CookingPotSexRaisedLeg,"{actor0} is standing behind {actor1}, who is bent over and facing away from him, as he pounds into her from behind, his penis thrusting into her vulva in a intense, sexual vaginalsex act."
OARE_GropingFromBehind,"{actor0} stands behind {actor1}, who is also standing and facing away, as {actor0} reaches around to rub {actor1}'s clitoris while simultaneously groping her breasts with their hands."
OARE_FSquatting_Fellatio,"{actor0} stands tall as {actor1} kneels before him, orally servicing his dick with a skilled blowjob."
OARE_HJAndLicking,"{actor0} lies back while {actor1} lies beside him, their head bent down to lick his cock as they simultaneously jack him off with their hand, pleasuring his shaft with both their mouth and fingers."
OARE_FSquatting_Handjob,"{actor0} is standing, while {actor1} kneels in front of him, stroking his shaft, giving him a handjob."
OARE_GentleEmbrace,"{actor0} and {actor1} are standing together, cuddled up in a warm embrace."
OARE_HoldingWaistKiss,"{actor0} and {actor1} stand facing each other, sharing a romantic and sensual kiss. They wrap their arms around one another, cuddling as they make out."
OARE_MaleLyingHJ,"{actor0} lies back as {actor1} sits beside him, stroking his cock with a firm grip, giving him a handjob. Meanwhile, {actor1} teases {actor0}, building up the anticipation."
OARE_LyingCuddlingApproachKiss,"{actor0} and {actor1} are lying on their sides, facing each other, engaged in a romantic and sensual kiss, cuddling together in a tender moment."
OARE_AceStandingLotus,"{actor0} stands as he plunges his dick into {actor1}'s pussy, with her suspended in mid-air, her vulva open and receptive to his throbbing shaft."
OARE_AceRearKneelingSexVariation,"{actor0} is kneeling behind {actor1}, who is also on her knees facing away from him, as he thrusts his cock into her pussy in a sexual vaginalsex act."
OARE_BenchBothSittingKiss,"{actor0} and {actor1} sit together on a bench, sharing a passionate, sensual kiss, their lips locked in a romantic embrace as they eagerly anticipate their next intimate encounter."
OARE_AceStandingHandjob,"{actor0} stands upright, his erect cock in hand of {actor1}, who is also standing, as they engage in a sexual handjob, with {actor1} vigorously stroking {actor0}'s shaft."
OARE_ActionFemaleCaressCheekStroke,"{actor0} and {actor1} are standing facing each other, both of them in a neutral stance, not engaging in any physical activity."
OARE_CookingTogetherNeckKiss,"{actor0} is sitting, while {actor1} stands beside them, leaning in as {actor0} gently kisses their neck in a sensual and romantic gesture, the two of them cuddling in front of the cooking pot."
OARE_BenchSitting,"{actor0} and {actor1} sit side by side on the bench, cuddled up together in a gentle, idle embrace, savoring each other's company as they anticipate their next intimate encounter."
OARE_ButtjobFromBehind,"{actor0} is standing behind {actor1}, who is also standing with their back facing {actor0}. {actor0} is thrusting their erection into {actor1}'s rear, actively pounding them from behind in a intense buttjob."
OARE_CowgirlKneesOnGround,"{actor1} is riding {actor0} in a cowgirl position, kneeling over him as he lies back, his penis buried deep inside her vulva, while she actively grinds and thrusts, fully in control of the passionate vaginal sex."
OARE_ChairMaleSittingSexVariation,"{actor0} sits in the chair, while {actor1} stands in front of them, facing away, as she rides {actor0}'s cock in a steamy vaginal sex act, taking control as the active performer."
OARE_GoToStandingHoldingFromBehind,"{actor0} stands facing {actor1}, who stands with their back to them, as they pause in a moment of anticipation."
OARE_FemaleUndressMaleTorso_Pt1,"{actor0} and {actor1} are standing face to face, almost embracing, in an intimate, open-mouthed kiss, with their lips pressed against each other."
OARE_DevourVampireBiteFemaleSitting,"{actor0} is sitting, while {actor1} is also sitting, leaning in to sink their fangs into {actor0}'s neck in a seductive and sensual vampire bite, sending shivers down their spine."
OARE_GoBackStandingHolding,"{actor0} and {actor1} are standing, facing each other in a neutral pose, not actively engaging in any intimate activity. The atmosphere is quiet, with no indication of escalating tension or romantic interest."
OARE_FKneeling_FellatioHoldingLegs,"{actor0} stands tall, his Hard-on shoved deep into {actor1}'s willing mouth as {actor1} kneels before him, expertly sucking his cock in a sloppy, passionate blowjob."
OARE_KneelingCL,"{actor0} is kneeling, face buried in {actor1}'s vulva, performing oral sex on her as she stands."
OARE_AceBackItUp,"{actor0} is kneeling behind {actor1}, who's on all fours, facing away from him, as he thrusts his cock into her pussy in a steamy doggystyle position, with {actor1} taking charge as the active participant, driving the vaginal sex forward."
OARE_ActionFemaleKiss,"{actor0} and {actor1} stand face to face, their lips locked in a romantic and sensual kiss."
OARE_CookingTogetherEyeContact,"{actor0} is sitting by the cooking pot, while {actor1} is standing beside them, cuddling and enjoying a tender moment together."
OARE_ActionFemaleFlirt,"{actor0} and {actor1} stand facing each other, not engaging in any physical activity at the moment."
OARE_CookingTogether,"{actor0} is sitting at the cooking pot, while {actor1} is standing next to them, with their arms wrapped around each other in a warm cuddle."
OARE_DoggystylePressingDown,"{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he thrusts his cock into her pussy in a doggystyle position, engaging in intense vaginal sex."
OARE_KneelingTongueFellatio,"{actor0} stands tall as {actor1} kneels before him, wrapping their lips around his erection, licking and sucking his shaft in a sensual oral sex act."
OARE_CowgirlSquattingHandsOnBreasts,"{actor1} is kneeling over {actor0}, who's lying back, as she rides him in a cowgirl position, her vulva sliding up and down his shaft. At the same time, she's fondling her own breasts, her hands cupping and squeezing them in a sensual caress."
OARE_BenchEarLickingHJ,"{actor1} is sitting on the bench, jerking off {actor0}'s cock, while simultaneously licking {actor0}'s ear. {actor0} is sitting beside them, receiving the handjob and the sensual ear licking."
OARE_BenchIdleBothSitting,"{actor0} and {actor1} are sitting side by side on a bench, both idle and not currently engaging in any sex acts, merely sitting in anticipation of their next erotic encounter."
OARE_DevourDrainedFemaleStanding,"{actor0} stands tall, patiently waiting for the next move, while {actor1} stands beside them, looking a bit drowsy but still ready to go. The atmosphere is idle, with no active sex actions happening at the moment, as they both anticipate their next erotic encounter."
OARE_BenchSideBySideHJ,"{actor0} is sitting on a bench, while {actor1} is sitting next to him, stroking his cock with her hand, giving him a sensual handjob. At the same time, {actor1} is teasing {actor0}, building up the anticipation."
OARE_CunnilingusRearHeadHeld,"{actor0} is kneeling in front of {actor1}, who is standing, and is going down on her, licking her pussy with their tongue, performing a passionate oral sex act, devouring her vulva with their eager mouth as {actor1} stands above."
OARE_ChairMaleSittingSex,"{actor0} sits in the chair while {actor1} stands facing away from him, her body bent as she grinds against his groin, actively riding his cock in a passionate vaginal sex session."
OARE_GoToStandingHandHolding,"{actor0} and {actor1} are standing facing each other, their bodies inches apart, the air thick with anticipation."
OARE_GoToReverseMountedFemale,"{actor0} lies back, while {actor1} kneels beside them, poised in a state of anticipation, with no active action taking place between them. The scene is momentarily still, frozen in a state of transition."
OARE_DoggystyleLoweredTorso,"{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he thrusts his cock into her pussy in a doggystyle position."
OARE_GoToStandingHolding,"{actor0} and {actor1} are standing facing each other, their bodies inches apart, anticipation hanging in the air as they pause in a moment of transition, neither one making a move just yet."
OARE_FKneeling_Fellatio,"{actor0} is standing tall while {actor1} is on their knees, their mouth wrapped around {actor0}'s shaft, performing an intense oral job, sucking his hard dick with enthusiasm."
OARE_HoldingChin,"{actor0} and {actor1} are standing together, embracing each other in a warm cuddle."
OARE_FKneeling_MasturbationToFace,"{actor0} is standing, masturbating his cock with one hand, while {actor1} kneels in front of him, gasping for air as {actor0} reaches climax, ejaculating onto {actor1}'s face."
OARE_FKneeling_MasturbationToFaceHoldHead,"{actor0} is standing, rubbing his penis against {actor1}'s face, who is kneeling in front of him, as he grinds his groin against their cheek."
OARE_HandjobKiss,"{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. At the same time, {actor1}'s hand wraps around {actor0}'s shaft, stroking it in a slow, deliberate motion, as she gives him a handjob."
OARE_GoToDevourVampireBiteFemaleStanding,"{actor0} and {actor1} are standing facing each other, paused in a moment of stillness, their bodies inches apart."
OARE_GoToReverseCowgirlMounted1,"{actor0} is lying back, while {actor1} is kneeling beside them."
OARE_HoldingChinKiss,"{actor0} and {actor1} stand facing each other, wrapped in a romantic and sensual kiss, their bodies pressed together as they cuddle, lost in the moment."
OARE_GoBackDevourVampireBiteFemaleStanding,"{actor0} is standing still, looking a bit drowsy, while {actor1} stands nearby, both of them seemingly paused in a moment of transition, without any sexual action happening."
OARE_GropingButtKissOA,"{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. Meanwhile, {actor0}'s hands are on {actor1}'s butt, sensually groping them as they continue to make out."
OARE_FSquatting_FellatioHoldHead,"{actor0} stands tall, his cock buried in {actor1}'s mouth as they kneel before him, their lips wrapped around his shaft. At the same time, {actor0} grasps the back of {actor1}'s head, holding it in place as they perform the blowjob."
OARE_LyingOnSideSex,"{actor0} is kneeling beside {actor1}, who is lying on her side, as he thrusts his cock into her pussy in a passionate and intimate vaginal sex act."
OARE_MaleBatheInKneeDeepWater,"{actor0} stands idle, his erect cock at the ready, anticipating his next erotic encounter."
OARE_LyingCuddlingApproachMount,"{actor0} and {actor1} are lying side by side, cuddled up together in a comfortable position, enjoying each other's warm presence."
OARE_ActionMaleCaressCheekStroke,"{actor0} and {actor1} are standing facing each other, both in a neutral stance, with no physical interaction between them."
OARE_CookingPotMaleApproach,"{actor0} is sitting at the cooking pot, while {actor1} is standing next to them, both seemingly idle and awaiting their next erotic encounter."
